"filename", "language", "JSON with Comments", "JSON", "XML", "TypeScript", "JavaScript", "Markdown", "TypeScript JSX", "CSS", "comment", "blank", "total"
"/Users/hardeepsingh/repos/React/Next/chatapp/app/api/v1/Signup/route.ts", "TypeScript", 0, 0, 0, 85, 0, 0, 0, 0, 2, 11, 98
"/Users/hardeepsingh/repos/React/Next/chatapp/app/api/v1/s3Img/route.ts", "TypeScript", 0, 0, 0, 62, 0, 0, 0, 0, 1, 9, 72
"/Users/hardeepsingh/repos/React/Next/chatapp/app/chat/[id]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 304, 0, 79, 48, 431
"/Users/hardeepsingh/repos/React/Next/chatapp/app/chat/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 235, 0, 67, 16, 318
"/Users/hardeepsingh/repos/React/Next/chatapp/app/inbox/[userid]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 87, 0, 0, 7, 94
"/Users/hardeepsingh/repos/React/Next/chatapp/app/inbox/create/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 130, 0, 2, 11, 143
"/Users/hardeepsingh/repos/React/Next/chatapp/app/inbox/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 172, 0, 1, 16, 189
"/Users/hardeepsingh/repos/React/Next/chatapp/app/layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 28, 0, 1, 5, 34
"/Users/hardeepsingh/repos/React/Next/chatapp/app/login/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 97, 0, 0, 10, 107
"/Users/hardeepsingh/repos/React/Next/chatapp/app/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 10, 0, 8, 4, 22
"/Users/hardeepsingh/repos/React/Next/chatapp/app/post/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 419, 0, 2, 49, 470
"/Users/hardeepsingh/repos/React/Next/chatapp/app/profile/[username]/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 862, 0, 5, 94, 961
"/Users/hardeepsingh/repos/React/Next/chatapp/app/signup/page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 227, 0, 1, 24, 252
"/Users/hardeepsingh/repos/React/Next/chatapp/app/utils/countries.ts", "TypeScript", 0, 0, 0, 250, 0, 0, 0, 0, 0, 1, 251
"/Users/hardeepsingh/repos/React/Next/chatapp/app/utils/dbConnect.ts", "TypeScript", 0, 0, 0, 15, 0, 0, 0, 0, 0, 4, 19
"/Users/hardeepsingh/repos/React/Next/chatapp/app/utils/helperFunctions/s3ImgUpload.ts", "TypeScript", 0, 0, 0, 41, 0, 0, 0, 0, 6, 10, 57
"/Users/hardeepsingh/repos/React/Next/chatapp/app/utils/helperFunctions/sanitizeData.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"/Users/hardeepsingh/repos/React/Next/chatapp/app/utils/helperFunctions/tokenMiddleware.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 5, 25
"/Users/hardeepsingh/repos/React/Next/chatapp/app/utils/helperFunctions/verifyToken.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 0, 0, 0, 6, 24
"/Users/hardeepsingh/repos/React/Next/chatapp/app/utils/helperFunctions/zodSchemas.ts", "TypeScript", 0, 0, 0, 64, 0, 0, 0, 0, 0, 8, 72
"/Users/hardeepsingh/repos/React/Next/chatapp/app/utils/s3.ts", "TypeScript", 0, 0, 0, 75, 0, 0, 0, 0, 4, 14, 93
"/Users/hardeepsingh/repos/React/Next/chatapp/app/utils/validateEnv.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 2, 13
"/Users/hardeepsingh/repos/React/Next/chatapp/next.config.mjs", "JavaScript", 0, 0, 0, 0, 6, 0, 0, 0, 4, 4, 14
"/Users/hardeepsingh/repos/React/Next/chatapp/package-lock.json", "JSON", 0, 6115, 0, 0, 0, 0, 0, 0, 0, 1, 6116
"/Users/hardeepsingh/repos/React/Next/chatapp/package.json", "JSON", 0, 53, 0, 0, 0, 0, 0, 0, 0, 1, 54
"/Users/hardeepsingh/repos/React/Next/chatapp/public/edit_icon.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/hardeepsingh/repos/React/Next/chatapp/public/images/github-mark-white.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/hardeepsingh/repos/React/Next/chatapp/public/images/github-mark.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/hardeepsingh/repos/React/Next/chatapp/public/next.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/hardeepsingh/repos/React/Next/chatapp/public/vercel.svg", "XML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/hardeepsingh/repos/React/Next/chatapp/tsconfig.json", "JSON with Comments", 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"Total", "-", 36, 6168, 5, 2088, 6, 23, 2942, 954, 290, 874, 13386
